item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T5_ORE_LEVEL3@3,Bridgewatch,1,8899,2023-01-08T06:55:00,8899,2023-01-08T06:55:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL3@3,Fort Sterling,1,9699,2023-01-08T09:45:00,9788,2023-01-08T09:45:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL3@3,Lymhurst,1,9184,2023-01-08T18:05:00,15000,2023-01-08T18:05:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL3@3,Martlock,1,9800,2023-01-08T16:55:00,10683,2023-01-08T16:55:00,167,2023-01-08T16:55:00,9050,2023-01-08T16:55:00
T5_ORE_LEVEL3@3,Thetford,1,9095,2023-01-08T20:25:00,13496,2023-01-08T20:25:00,159,2023-01-08T20:25:00,8806,2023-01-08T20:25:00
T5_ORE_LEVEL4@4,Bridgewatch,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL4@4,Fort Sterling,1,37000,2023-01-08T14:05:00,61985,2023-01-08T14:05:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL4@4,Lymhurst,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL4@4,Martlock,1,38998,2023-01-08T22:50:00,38998,2023-01-08T22:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL4@4,Thetford,1,49326,2023-01-08T19:10:00,73000,2023-01-08T19:10:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR,Bridgewatch,1,2460,2023-01-08T12:35:00,2790,2023-01-08T12:35:00,1,2023-01-08T06:55:00,2203,2023-01-08T06:55:00
T6_METALBAR,Fort Sterling,1,2286,2023-01-08T19:55:00,2389,2023-01-08T19:55:00,1,2023-01-08T19:55:00,2257,2023-01-08T19:55:00
T6_METALBAR,Lymhurst,1,2270,2023-01-08T19:25:00,2996,2023-01-08T19:25:00,1,2023-01-08T01:05:00,2123,2023-01-08T01:05:00
